STUDENT ID,Biology,Chemistry,Civic Education,Commerce,Economics,English,Further Mathematics,Government,Geography,Literature in English,Mathematics,Physics,Department
90673,A1,C4,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,F9,F9,Arts
90674,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,F9,F9,B3,ABS,Science
90675,E8,E8,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,C5,Commercial
90676,C5,B3,ABS,ABS,ABS,F9,F9,ABS,C4,ABS,F9,F9,Commercial
90677,ABS,ABS,ABS,ABS,ABS,F9,ABS,B3,F9,F9,F9,ABS,Science
90678,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,B2,F9,A1,ABS,Science
90679,ABS,ABS,ABS,ABS,ABS,A1,ABS,A1,F9,B2,E8,ABS,Commercial
90680,F9,F9,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,C4,Arts
90681,F9,F9,ABS,ABS,ABS,F9,F9,ABS,C6,ABS,F9,E8,Arts
90682,ABS,ABS,ABS,C6,F9,A1,ABS,E8,ABS,ABS,C5,ABS,Science
90683,ABS,ABS,ABS,F9,F9,A1,ABS,F9,ABS,ABS,F9,ABS,Commercial
90684,A1,F9,ABS,ABS,ABS,A1,F9,ABS,F9,ABS,F9,B2,Arts
90685,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,A1,E8,A1,ABS,Arts
90686,F9,F9,ABS,ABS,ABS,F9,F9,ABS,C5,ABS,A1,C6,Arts
90687,A1,E8,ABS,ABS,ABS,C6,A1,ABS,A1,ABS,E8,E8,Commercial
90688,ABS,ABS,ABS,C4,A1,A1,ABS,F9,ABS,ABS,A1,ABS,Science
90689,A1,C5,ABS,ABS,ABS,F9,F9,ABS,A1,ABS,A1,F9,Science
90690,F9,B3,ABS,ABS,ABS,A1,A1,ABS,C4,ABS,F9,C6,Science
90691,F9,D7,ABS,ABS,ABS,A1,A1,ABS,B3,ABS,A1,A1,Science
90692,ABS,ABS,ABS,F9,E8,F9,ABS,C5,ABS,ABS,F9,ABS,Arts
90693,ABS,ABS,ABS,A1,B2,A1,ABS,F9,ABS,ABS,A1,ABS,Commercial
90694,ABS,ABS,ABS,F9,F9,F9,ABS,ABS,ABS,ABS,A1,ABS,Arts
90695,D7,F9,ABS,ABS,ABS,C6,F9,ABS,F9,ABS,F9,F9,Commercial
90697,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,F9,ABS,Science
90698,ABS,ABS,ABS,F9,D7,B2,ABS,F9,ABS,ABS,C4,ABS,Arts
90699,ABS,ABS,ABS,F9,C4,F9,ABS,F9,ABS,ABS,F9,ABS,Arts
90700,ABS,ABS,ABS,F9,F9,ABS,ABS,F9,ABS,ABS,D7,ABS,Commercial
90696,F9,C5,ABS,ABS,ABS,F9,A1,ABS,F9,ABS,A1,D7,Commercial
90701,F9,A1,ABS,ABS,ABS,F9,C6,ABS,F9,ABS,C6,E8,Commercial
90702,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,E8,A1,ABS,Commercial
90703,A1,B3,ABS,ABS,ABS,F9,F9,ABS,F9,ABS,B2,F9,Arts
90704,ABS,ABS,ABS,A1,F9,D7,ABS,F9,ABS,ABS,ABS,ABS,Arts
90705,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,A1,A1,ABS,Arts
90706,ABS,ABS,ABS,ABS,ABS,C4,ABS,E8,F9,C4,F9,ABS,Commercial
90707,A1,F9,ABS,ABS,ABS,A1,F9,ABS,D7,ABS,C5,C5,Science
90708,A1,C4,ABS,ABS,ABS,C5,A1,ABS,F9,ABS,D7,A1,Arts
90709,ABS,ABS,ABS,C6,A1,F9,ABS,A1,ABS,ABS,C6,ABS,Science
90710,ABS,ABS,ABS,C6,F9,B2,ABS,F9,ABS,ABS,D7,ABS,Commercial
90711,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,D7,B2,ABS,Commercial
90712,C6,A1,ABS,ABS,ABS,A1,A1,ABS,F9,ABS,F9,F9,Science
90713,ABS,ABS,ABS,ABS,ABS,C4,ABS,C5,F9,F9,A1,ABS,Science
90714,F9,B2,ABS,ABS,ABS,F9,A1,ABS,D7,ABS,E8,F9,Science
90715,ABS,ABS,ABS,ABS,ABS,F9,ABS,E8,D7,A1,C6,ABS,Science
90716,ABS,ABS,ABS,ABS,ABS,C5,ABS,A1,A1,F9,A1,ABS,Science
90717,ABS,ABS,ABS,F9,F9,A1,ABS,A1,ABS,ABS,F9,ABS,Science
88879,F9,A1,ABS,ABS,ABS,ABS,B2,ABS,B3,ABS,F9,B3,Commercial
88880,ABS,ABS,ABS,ABS,ABS,F9,ABS,F9,F9,F9,C6,ABS,Arts
88881,ABS,ABS,ABS,ABS,ABS,C5,ABS,C4,A1,F9,F9,ABS,Science
88882,ABS,ABS,ABS,F9,E8,B3,ABS,B2,ABS,ABS,F9,ABS,Arts
88883,ABS,ABS,ABS,ABS,ABS,A1,ABS,F9,A1,A1,D7,ABS,Arts
88884,ABS,ABS,ABS,B2,F9,A1,ABS,B3,ABS,ABS,C6,ABS,Science
88885,B2,E8,ABS,ABS,ABS,E8,F9,ABS,F9,ABS,C4,F9,Commercial
